Codigo_cliente,Id_cliente,SKU Exhibidores,Id_exhibidores,Cantidad,Fecha_facturacion
13035,6,95302010179,6,1,2020-08-10
13086,7,95302010180,7,1,2020-08-11
13299,8,95302010183,8,1,2020-08-12
13299,9,95302010184,9,1,2020-08-13
13304,10,95302010185,10,1,2020-08-14
10287,1,95302010023,1,1,2020-08-05
12097,2,95302010088,2,1,2020-08-06
12097,3,95302010095,3,1,2020-08-07
12211,4,95302010113,4,1,2020-08-08
12991,5,95302010170,5,1,2020-08-09
13035,6,95302010179,6,1,2020-08-10
13086,7,95302010180,7,1,2020-08-11
13299,8,95302010183,8,1,2020-08-12
13299,9,95302010184,9,1,2020-08-13
13304,10,95302010185,10,1,2020-08-14
10287,1,95302010023,1,1,2020-08-05
12097,2,95302010088,2,1,2020-08-06
12097,3,95302010095,3,1,2020-08-07
12211,4,95302010113,4,1,2020-08-08
12991,5,95302010170,5,1,2020-08-09
13035,6,95302010179,6,1,2020-08-10
13086,7,95302010180,7,1,2020-08-11
13299,8,95302010183,8,1,2020-08-12
13299,9,95302010184,9,1,2020-08-13
13304,10,95302010185,10,1,2020-08-14
10287,1,95302010023,1,1,2020-08-05
12097,2,95302010088,2,1,2020-08-06
12097,3,95302010095,3,1,2020-08-07
12211,4,95302010113,4,1,2020-08-08
12991,5,95302010170,5,1,2020-08-09
13035,6,95302010179,6,1,2020-08-10
13086,7,95302010180,7,1,2020-08-11
13299,8,95302010183,8,1,2020-08-12
13299,9,95302010184,9,1,2020-08-13
13304,10,95302010185,10,1,2020-08-14
10287,1,95302010023,1,1,2020-08-05
12097,2,95302010088,2,1,2020-08-06
12097,3,95302010095,3,1,2020-08-07
12211,4,95302010113,4,1,2020-08-08
12991,5,95302010170,5,1,2020-08-09
13035,6,95302010179,6,1,2020-08-10
13086,7,95302010180,7,1,2020-08-11
13299,8,95302010183,8,1,2020-08-12
13299,9,95302010184,9,1,2020-08-13
13304,10,95302010185,10,1,2020-08-14
10287,1,95302010023,1,1,2020-08-05
12097,2,95302010088,2,1,2020-08-06
12097,3,95302010095,3,1,2020-08-07
12211,4,95302010113,4,1,2020-08-08
12991,5,95302010170,5,1,2020-08-09
13035,6,95302010179,6,1,2020-08-10
13086,7,95302010180,7,1,2020-08-11
13299,8,95302010183,8,1,2020-08-12
13299,9,95302010184,9,1,2020-08-13
13304,10,95302010185,10,1,2020-08-14
10287,1,95302010023,1,1,2020-08-05
12097,2,95302010088,2,1,2020-08-06
12097,3,95302010095,3,1,2020-08-07
12211,4,95302010113,4,1,2020-08-08
12991,5,95302010170,5,1,2020-08-09
13035,6,95302010179,6,1,2020-08-10
13086,7,95302010180,7,1,2020-08-11
13299,8,95302010183,8,1,2020-08-12
13299,9,95302010184,9,1,2020-08-13
13304,10,95302010185,10,1,2020-08-14
10287,1,95302010023,1,1,2020-08-05
12097,2,95302010088,2,1,2020-08-06
12097,3,95302010095,3,1,2020-08-07
12211,4,95302010113,4,1,2020-08-08
12991,5,95302010170,5,1,2020-08-09
13035,6,95302010179,6,1,2020-08-10
13086,7,95302010180,7,1,2020-08-11
13299,8,95302010183,8,1,2020-08-12
13299,9,95302010184,9,1,2020-08-13
13304,10,95302010185,10,1,2020-08-14
10287,1,95302010023,1,1,2020-08-05
12097,2,95302010088,2,1,2020-08-06
12097,3,95302010095,3,1,2020-08-07
12211,4,95302010113,4,1,2020-08-08
12991,5,95302010170,5,1,2020-08-09
13035,6,95302010179,6,1,2020-08-10
13086,7,95302010180,7,1,2020-08-11
13299,8,95302010183,8,1,2020-08-12
13299,9,95302010184,9,1,2020-08-13
13304,10,95302010185,10,1,2020-08-14
10287,1,95302010023,1,1,2020-08-05
12097,2,95302010088,2,1,2020-08-06
12097,3,95302010095,3,1,2020-08-07
12211,4,95302010113,4,1,2020-08-08
12991,5,95302010170,5,1,2020-08-09
13035,6,95302010179,6,1,2020-08-10
13086,7,95302010180,7,1,2020-08-11
13299,8,95302010183,8,1,2020-08-12
13299,9,95302010184,9,1,2020-08-13
13304,10,95302010185,10,1,2020-08-14
